cve_id,primary_urls,secondary_urls,dead_links,ignored_links,failed_links,has_combined,has_refined
CVE-2022-4264,2,0,0,0,0,True,False
CVE-2022-37603,6,0,0,0,0,True,False
CVE-2022-23432,1,0,0,0,0,True,False
CVE-2022-20373,1,0,0,0,0,True,False
CVE-2022-45874,1,0,0,0,0,True,False
CVE-2022-26360,7,0,0,0,0,True,False
CVE-2022-47715,1,0,0,0,0,True,False
CVE-2022-20241,1,0,0,0,0,True,False
CVE-2022-3218,5,0,0,0,0,True,False
CVE-2021-43315,1,0,0,0,0,True,False
CVE-2022-22190,1,0,0,0,0,True,False
CVE-2022-29196,7,0,0,0,0,True,False
CVE-2021-30983,1,0,0,0,0,True,False
CVE-2022-43486,2,0,0,0,0,True,False
CVE-2022-37734,4,0,0,0,0,True,False
CVE-2022-4014,1,0,0,0,0,True,False
CVE-2022-30728,1,0,0,0,0,True,False
CVE-2021-33657,4,0,0,0,0,True,False
CVE-2022-24754,5,0,0,0,0,True,False
CVE-2022-25727,1,0,0,0,0,True,False
CVE-2022-20024,1,0,0,0,0,True,False
CVE-2021-26316,2,0,0,0,0,True,False
CVE-2021-3981,4,0,0,0,0,True,False
CVE-2022-31255,1,0,0,0,0,True,False
CVE-2022-3272,2,0,0,0,0,True,False
CVE-2021-32415,3,0,0,0,0,True,False
CVE-2021-44422,1,0,0,0,0,True,False
CVE-2021-25380,2,0,0,0,0,True,False
CVE-2021-45696,2,0,0,0,0,True,False
CVE-2022-29161,3,0,0,0,0,True,False
CVE-2022-39869,1,0,0,0,0,True,True
CVE-2022-34151,2,0,0,0,0,True,True
CVE-2022-41013,1,0,0,0,0,True,True
CVE-2021-39990,1,0,0,0,0,True,False
CVE-2021-40793,1,0,0,0,0,True,True
CVE-2021-28147,8,0,0,0,0,True,True
CVE-2022-21867,2,0,0,0,0,True,False
CVE-2022-27667,2,0,0,0,0,True,True
CVE-2022-20032,1,0,0,0,0,True,True
CVE-2021-23556,5,0,0,0,0,True,True
CVE-2022-27218,2,0,0,0,0,True,True
CVE-2021-1060,1,0,0,0,0,True,True
CVE-2022-28067,1,0,0,0,0,True,False
CVE-2022-23994,1,0,0,0,0,True,False
CVE-2022-37897,1,0,0,0,1,False,False
CVE-2022-30508,1,0,0,0,1,False,False
CVE-2022-42328,6,0,0,0,0,True,False
CVE-2022-36425,2,0,0,0,0,True,True
CVE-2022-35105,1,0,0,0,0,True,False
CVE-2022-34254,1,0,0,0,0,True,False
CVE-2022-34770,1,0,0,0,1,False,False
CVE-2022-3414,2,0,0,0,0,True,False
CVE-2022-3581,1,0,0,0,0,True,False
CVE-2022-32282,2,0,0,0,0,True,False
CVE-2021-32977,2,0,0,0,0,True,False
CVE-2022-22330,2,0,0,0,0,True,False
CVE-2022-23672,1,0,0,0,1,False,False
CVE-2022-31506,2,0,0,0,0,True,False
CVE-2022-20312,1,0,0,0,0,True,False
CVE-2022-25429,1,0,0,0,1,False,False
CVE-2022-20137,1,0,0,0,0,True,False
CVE-2022-42972,1,0,0,0,0,True,False
CVE-2022-22483,3,0,0,0,0,True,False
CVE-2022-20470,1,0,0,0,0,True,False
CVE-2022-25728,1,0,0,0,0,True,False
CVE-2022-36458,1,0,0,0,0,True,False
CVE-2021-44523,2,0,0,0,0,True,False
CVE-2022-32649,1,0,0,0,0,True,False
CVE-2022-25081,1,0,0,0,1,False,False
CVE-2022-38367,2,0,0,0,0,True,False
CVE-2022-21142,2,0,0,0,0,True,False
CVE-2022-26654,1,0,0,0,0,True,False
CVE-2022-21772,1,0,0,0,0,True,False
CVE-2021-45943,11,0,0,0,0,True,False
CVE-2022-47329,1,0,0,0,0,True,False
CVE-2022-4522,3,0,0,0,0,True,False
CVE-2022-44620,2,0,0,0,0,True,False
CVE-2022-35474,1,0,0,0,0,True,False
CVE-2022-1287,1,0,0,0,0,True,True
CVE-2022-34966,4,0,0,0,0,True,False
CVE-2022-41396,2,0,0,0,0,True,False
CVE-2022-26359,7,0,0,0,0,True,False
CVE-2022-31250,1,0,0,0,0,True,False
CVE-2021-45910,2,0,0,0,0,True,False
CVE-2022-31622,5,0,0,0,0,True,False
CVE-2022-40139,1,0,0,0,0,True,False
CVE-2022-2603,4,0,0,0,0,True,False
CVE-2021-45740,1,0,0,0,1,False,False
CVE-2022-21670,2,0,0,0,0,True,False
CVE-2021-30982,3,0,0,0,0,True,False
CVE-2022-1856,3,0,0,0,0,True,False
CVE-2022-20493,1,0,0,0,0,True,False
CVE-2021-39642,1,0,0,0,0,True,False
CVE-2021-0391,1,0,0,0,0,True,False
CVE-2022-39096,1,0,0,0,0,True,False
CVE-2021-24831,1,0,0,0,0,True,False
CVE-2022-24489,1,0,0,0,0,True,False
CVE-2022-29080,2,0,0,0,0,True,False
CVE-2022-30300,1,0,0,0,0,True,False
CVE-2021-40897,1,0,0,0,0,True,False
CVE-2022-21776,1,0,0,0,0,True,False
CVE-2022-44930,1,0,0,0,0,True,False
CVE-2022-24433,4,0,0,0,0,True,False
CVE-2022-38531,1,0,0,0,0,True,False
CVE-2022-45470,2,0,0,0,0,True,False
CVE-2021-44359,1,0,0,0,0,True,False
CVE-2022-30693,2,0,0,0,0,True,False
CVE-2022-0323,2,0,0,0,0,True,False
CVE-2022-41813,1,0,0,0,0,True,False
CVE-2022-22057,2,0,0,0,0,True,False
CVE-2022-20330,1,0,0,0,0,True,False
CVE-2022-26258,5,0,0,0,0,True,False
CVE-2022-31069,2,0,0,0,0,True,False
CVE-2022-38408,1,0,0,0,0,True,False
CVE-2021-4067,5,0,0,0,0,True,False
CVE-2022-32608,1,0,0,0,0,True,False
CVE-2022-31205,2,0,0,0,0,True,False
CVE-2022-25824,1,0,0,0,0,True,False
CVE-2022-36091,2,0,0,0,0,True,False
CVE-2022-36612,1,0,0,0,0,True,False
CVE-2022-48363,4,0,0,0,0,True,False
CVE-2022-24318,1,0,0,0,0,True,False
CVE-2022-45877,1,0,0,0,0,True,False
CVE-2022-31107,5,0,0,0,0,True,False
CVE-2022-41080,1,0,0,0,0,True,False
CVE-2022-1482,3,0,0,0,0,True,False
CVE-2022-30780,4,0,0,0,0,True,False
CVE-2022-21587,2,0,0,0,0,True,False
CVE-2022-36852,1,0,0,0,0,True,False
CVE-2022-28494,2,0,0,0,0,True,False
CVE-2022-44708,4,0,0,0,0,True,False
CVE-2021-44538,4,0,0,0,0,True,False
CVE-2022-2841,5,0,0,0,0,True,False
CVE-2022-23442,1,0,0,0,0,True,False
CVE-2022-44784,1,0,0,0,0,True,False
CVE-2022-26999,1,0,0,0,1,False,False
CVE-2022-45724,3,0,0,0,0,True,False
